,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,5.022798876654538,5.022798876654538,51.57586460276998,51.57586460276998
F2,2.580937978890802,7.60373685554534,26.501978481782285,78.07784308455227
F3,1.7951120983361655,9.398848953881505,18.432842087487035,96.5106851720393
F4,0.22372976104033282,9.622578714921838,2.297335837327402,98.8080210093667
F5,0.09691191308516053,9.719490628006998,0.9951255924077149,99.80314660177442
F6,0.011791012587287836,9.731281640594286,0.1210742623118056,99.92422086408622
F7,0.007379873544983123,9.738661514139269,0.07577913591378556,100.00000000000001
F8,0.0,9.738661514139269,0.0,100.00000000000001
F9,0.0,9.738661514139269,0.0,100.00000000000001
F10,0.0,9.738661514139269,0.0,100.00000000000001
